id,vote_type_id,creation_timestrmpz
30052775,11,2012-07-03 00:00:00+00:00
73055801,11,2014-08-09 00:00:00+00:00
16687014,9,2011-06-27 00:00:00+00:00
18230922,11,2011-08-17 00:00:00+00:00
104423477,11,2015-12-31 00:00:00+00:00
23598822,11,2012-01-26 00:00:00+00:00
239051104,11,2021-09-23 00:00:00+00:00
84708494,12,2015-03-05 00:00:00+00:00
241103629,15,2021-10-30 00:00:00+00:00
136208865,11,2017-04-07 00:00:00+00:00
238824349,15,2021-09-19 00:00:00+00:00
228289867,15,2021-03-17 00:00:00+00:00
113531094,11,2016-05-09 00:00:00+00:00
129235157,11,2016-12-29 00:00:00+00:00
227957603,15,2021-03-11 00:00:00+00:00
168597714,15,2018-08-03 00:00:00+00:00
228722961,15,2021-03-24 00:00:00+00:00
180993004,15,2019-02-15 00:00:00+00:00
201023210,4,2020-01-08 00:00:00+00:00
189547287,15,2019-06-28 00:00:00+00:00
57108739,9,2013-11-11 00:00:00+00:00
78396264,11,2014-11-13 00:00:00+00:00
227209814,8,2021-02-27 00:00:00+00:00
149307601,8,2017-10-17 00:00:00+00:00
46085522,11,2013-04-30 00:00:00+00:00
181186134,15,2019-02-18 00:00:00+00:00
175599226,8,2018-11-21 00:00:00+00:00
138176743,9,2017-05-07 00:00:00+00:00
149125698,12,2017-10-13 00:00:00+00:00
168515257,15,2018-08-02 00:00:00+00:00
86240539,15,2015-03-31 00:00:00+00:00
241521049,15,2021-11-07 00:00:00+00:00
253391626,15,2022-06-23 00:00:00+00:00
104549327,8,2016-01-04 00:00:00+00:00
30041982,15,2012-07-03 00:00:00+00:00
46551001,15,2013-05-08 00:00:00+00:00
226828945,15,2021-02-22 00:00:00+00:00
163369496,11,2018-05-15 00:00:00+00:00
155234951,11,2018-01-17 00:00:00+00:00
103781429,15,2015-12-20 00:00:00+00:00
239439509,9,2021-09-30 00:00:00+00:00
155814467,11,2018-01-25 00:00:00+00:00
163439898,8,2018-05-16 00:00:00+00:00
15957022,9,2011-06-14 00:00:00+00:00
234081849,11,2021-06-23 00:00:00+00:00
110690027,9,2016-03-29 00:00:00+00:00
65382541,15,2014-03-28 00:00:00+00:00
225874017,15,2021-02-06 00:00:00+00:00
129366717,15,2017-01-02 00:00:00+00:00
11190835,8,2010-12-03 00:00:00+00:00
58957094,8,2013-12-12 00:00:00+00:00
251972028,15,2022-05-26 00:00:00+00:00
43227678,15,2013-03-15 00:00:00+00:00
132884687,9,2017-02-20 00:00:00+00:00
36379810,15,2012-11-13 00:00:00+00:00
39914143,11,2013-01-18 00:00:00+00:00
212612740,11,2020-07-03 00:00:00+00:00
241967870,15,2021-11-15 00:00:00+00:00
180732947,15,2019-02-12 00:00:00+00:00
87054535,11,2015-04-14 00:00:00+00:00
84824670,8,2015-03-08 00:00:00+00:00
227726237,8,2021-03-08 00:00:00+00:00
59683019,11,2013-12-26 00:00:00+00:00
149238685,15,2017-10-16 00:00:00+00:00
15650858,15,2011-06-04 00:00:00+00:00
129725034,11,2017-01-06 00:00:00+00:00
181783174,15,2019-02-27 00:00:00+00:00
44854575,15,2013-04-10 00:00:00+00:00
58838690,11,2013-12-11 00:00:00+00:00
61383733,15,2014-01-26 00:00:00+00:00
251963279,8,2022-05-26 00:00:00+00:00
122934656,8,2016-09-26 00:00:00+00:00
123513221,15,2016-10-04 00:00:00+00:00
214397450,11,2020-07-29 00:00:00+00:00
241030208,11,2021-10-29 00:00:00+00:00
22309675,11,2011-12-20 00:00:00+00:00
23764222,11,2012-01-31 00:00:00+00:00
30233898,9,2012-07-07 00:00:00+00:00
199874082,15,2019-12-17 00:00:00+00:00
92875793,15,2015-07-08 00:00:00+00:00
43676477,15,2013-03-22 00:00:00+00:00
226243777,8,2021-02-12 00:00:00+00:00
23453866,11,2012-01-23 00:00:00+00:00
17229870,9,2011-07-15 00:00:00+00:00
100052456,15,2015-10-26 00:00:00+00:00
161958572,11,2018-04-23 00:00:00+00:00
86332245,8,2015-04-02 00:00:00+00:00
63924618,15,2014-03-06 00:00:00+00:00
43816686,15,2013-03-24 00:00:00+00:00
37919086,9,2012-12-11 00:00:00+00:00
252994846,9,2022-06-15 00:00:00+00:00
78115024,9,2014-11-09 00:00:00+00:00
131553163,8,2017-02-02 00:00:00+00:00
47016926,11,2013-05-16 00:00:00+00:00
206691754,15,2020-04-09 00:00:00+00:00
79499487,15,2014-12-03 00:00:00+00:00
189296218,15,2019-06-24 00:00:00+00:00
227173067,8,2021-02-26 00:00:00+00:00
158473014,15,2018-03-05 00:00:00+00:00
91873009,15,2015-06-23 00:00:00+00:00
51144978,15,2013-07-26 00:00:00+00:00
24049414,8,2012-02-07 00:00:00+00:00
90750919,15,2015-06-07 00:00:00+00:00
144335948,15,2017-08-04 00:00:00+00:00
193393223,15,2019-08-31 00:00:00+00:00
249318373,15,2022-04-04 00:00:00+00:00
175205817,8,2018-11-14 00:00:00+00:00
90233593,15,2015-05-30 00:00:00+00:00
214493714,15,2020-07-31 00:00:00+00:00
221136596,8,2020-11-18 00:00:00+00:00
47123118,8,2013-05-17 00:00:00+00:00
29383780,15,2012-06-18 00:00:00+00:00
91328568,15,2015-06-15 00:00:00+00:00
158008572,11,2018-02-26 00:00:00+00:00
22890593,9,2012-01-07 00:00:00+00:00
220323947,9,2020-11-04 00:00:00+00:00
58305631,11,2013-12-02 00:00:00+00:00
124135639,15,2016-10-13 00:00:00+00:00
162827626,15,2018-05-07 00:00:00+00:00
157404444,15,2018-02-17 00:00:00+00:00
74036801,15,2014-08-27 00:00:00+00:00
124418169,15,2016-10-18 00:00:00+00:00
93015505,15,2015-07-10 00:00:00+00:00
233606594,15,2021-06-15 00:00:00+00:00
129788546,15,2017-01-08 00:00:00+00:00
14906481,11,2011-05-10 00:00:00+00:00
24158474,15,2012-02-09 00:00:00+00:00
220988657,8,2020-11-16 00:00:00+00:00
144500972,15,2017-08-07 00:00:00+00:00
112562906,8,2016-04-25 00:00:00+00:00
135546389,15,2017-03-29 00:00:00+00:00
245376744,15,2022-01-20 00:00:00+00:00
11744528,15,2011-01-03 00:00:00+00:00
64183120,15,2014-03-10 00:00:00+00:00
220729919,15,2020-11-11 00:00:00+00:00
215103327,11,2020-08-10 00:00:00+00:00
201598395,8,2020-01-17 00:00:00+00:00
58429205,11,2013-12-04 00:00:00+00:00
241859667,11,2021-11-13 00:00:00+00:00
116305314,15,2016-06-18 00:00:00+00:00
29918161,11,2012-06-29 00:00:00+00:00
227163892,11,2021-02-26 00:00:00+00:00
50191707,15,2013-07-10 00:00:00+00:00
137613611,15,2017-04-28 00:00:00+00:00
119653866,15,2016-08-08 00:00:00+00:00
193245238,11,2019-08-29 00:00:00+00:00
180656325,11,2019-02-11 00:00:00+00:00
137560208,15,2017-04-27 00:00:00+00:00
123575653,15,2016-10-05 00:00:00+00:00
71483363,11,2014-07-12 00:00:00+00:00
91400204,11,2015-06-16 00:00:00+00:00
63826856,15,2014-03-04 00:00:00+00:00
245430842,15,2022-01-20 00:00:00+00:00
200211974,9,2019-12-23 00:00:00+00:00
32169707,9,2012-08-20 00:00:00+00:00
30835618,15,2012-07-20 00:00:00+00:00
43285937,15,2013-03-15 00:00:00+00:00
18214203,11,2011-08-16 00:00:00+00:00
246978353,9,2022-02-17 00:00:00+00:00
138379234,8,2017-05-10 00:00:00+00:00
227100076,15,2021-02-25 00:00:00+00:00
176866720,4,2018-12-11 00:00:00+00:00
29490209,15,2012-06-20 00:00:00+00:00
249423000,12,2022-04-06 00:00:00+00:00
111872682,11,2016-04-15 00:00:00+00:00
130600240,8,2017-01-19 00:00:00+00:00
174213281,11,2018-10-30 00:00:00+00:00
50672434,15,2013-07-18 00:00:00+00:00
213360541,12,2020-07-14 00:00:00+00:00
188003167,9,2019-06-03 00:00:00+00:00
51190204,15,2013-07-27 00:00:00+00:00
84269652,15,2015-02-26 00:00:00+00:00
105230767,15,2016-01-13 00:00:00+00:00
91206814,11,2015-06-13 00:00:00+00:00
31955780,15,2012-08-15 00:00:00+00:00
199732381,15,2019-12-14 00:00:00+00:00
10452566,11,2010-10-25 00:00:00+00:00
183008032,9,2019-03-16 00:00:00+00:00
29758606,11,2012-06-26 00:00:00+00:00
46234452,11,2013-05-02 00:00:00+00:00
234314828,11,2021-06-28 00:00:00+00:00
110022694,11,2016-03-19 00:00:00+00:00
57101430,15,2013-11-11 00:00:00+00:00
78258209,15,2014-11-11 00:00:00+00:00
