vote_id,comment_id
130344573,84319635
240364058,75862616
207687112,95638194
206704299,115921759
219623878,115921759
8190760,95411142
57145598,72380323
17071543,46504982
125112561,95822075
194492678,95638194
233131608,2379174
93460936,88396655
246201669,122969735
228749769,95410989
65156737,95821892
36651892,95823477
240148226,7143475
239554692,75862616
135960002,122969735
137559411,47227160
46780656,107631122
200054888,71487960
182204801,6811735
234522250,69725676
234668353,93022165
90643290,68826126
181865878,115921759
57369133,101545114
24337022,71209449
22950450,79510724
37132658,34728374
58891352,89228077
187277428,7143475
155986136,79705400
73142359,86049379
227282203,3635195
228549862,73678343
233480622,89991359
167780511,69278034
97773765,69725808
38339631,86049049
32068800,84319813
87290012,69277853
104555266,70748503
45242936,115922389
23903993,61546978
149113798,95019637
226325435,70748503
14883902,123524292
105264738,122969735
85264795,31607516
31344618,93022295
187706530,75862711
200146189,85728212
65709894,79509332
175466936,47227160
86821589,84319880
117077527,85726786
253679255,95821892
116580633,69278034
137246570,1951650
161259988,88396655
36299045,85728212
7951044,71209449
220327156,102285333
208061681,1951650
160035948,67350078
195627186,46794237
79534225,1951606
169124018,69277853
93166407,95638194
199639695,79510571
43733102,102285333
252893378,77864463
143793312,95821892
87040054,6810278
227064186,49778408
214483327,79510724
155925062,79509202
202061026,71209468
38061511,79060611
58007758,11863382
91861615,4634539
228138894,73678343
162771929,75805033
50466373,46504982
202095279,86049379
72228914,71209685
85385770,79510571
207503918,84319880
53172367,71487960
99504309,67350078
165074710,79510724
180497843,9210642
181019666,11863788
138222491,71487960
52653025,100373741
29937661,89991359
123903054,95389827
25117791,75862587
18111405,73678343
64124980,73563662
213110037,86049379
71532063,95823449
29633141,95821892
142459998,92070886
251706531,6240739
44407077,46504982
64779396,89228416
253203361,88396655
90363304,71487960
99078715,49778456
15294597,77878777
10685691,58623856
251855166,72380323
228179130,67350330
16769929,4632074
43679834,68877987
73616392,34728374
118612110,6950463
234546274,75862616
155904709,123524292
91258625,95823449
248515843,102285333
215319498,89043042
60126994,100373741
207859146,86049379
36536484,73610181
45570289,79512084
136541338,115921759
111422047,79508879
104435332,126087055
10901850,93021324
249943596,79508822
91302452,79510494
193465759,73678343
92013766,9260491
31745950,69286472
213971079,61548819
235765222,84319761
71299451,79705225
109970333,86049049
109729198,95389827
141958365,100380758
142829324,79510724
219424189,77878777
46444914,70395867
117699277,75862616
59093136,95390657
52435816,95823629
135635360,95019637
247073195,6240739
65782747,6950463
111237598,106865254
37509769,95823477
78817207,69725658
246412818,46504982
46981963,79508822
233222141,100373741
18183412,123524292
24104211,69284507
214589586,5735652
154736549,85728212
22636216,89228416
30388236,73563662
233008378,95821892
79446343,4631942
24139263,99338158
51873128,9210642
73844698,95410989
150503394,69725676
202918302,89228416
174032647,8849188
149286448,77878777
83648368,75862587
23119672,11863788
12055737,6950463
66131871,34728374
119003424,93022295
200459291,69278034
124357528,95841376
101520749,70748503
206787248,31607516
53601501,6238716
168741444,55661918
77961701,75191840
149076112,89228416
168650590,79509332
126099309,95389324
200225152,95410989
78669737,95389324
23405755,84319635
168024562,4634539
239618620,1951650
149621422,1903398
200904454,1629877
206217650,108833643
130527518,11863382
169069197,95019637
150146448,6240739
136468780,95638194
240289055,75862616
17494916,6240739
84120834,1518743
194252904,71209449
169164533,4632193
14875862,68826126
212996534,6769028
208536378,1518743
118083338,11863382
188607167,99338158
77314872,75805033
163818624,69277853
239586902,95841376
119870819,73565199
176209035,75862833
31327801,11863382
131498359,95390073
78077056,84319761
199762879,106865254
130847274,44394311
24199596,95390984
15494386,61568467
201971464,68934354
124032685,79508879
202246533,89043055
150936665,1957168
183069587,4632028
214284299,95841376
59155563,84319813
181118081,81060081
70926919,85728212
73816926,6940814
106500788,92078891
182346722,6940814
50334736,84319635
22475692,79705225
45942414,125618895
175738756,4632193
51144777,95411142
58890869,3635199
129642762,89228077
207292789,49778408
29805263,115921759
31823630,69725658
182272465,79509332
29617536,67350330
23380471,79512084
158347601,72380323
72494945,6823476
72134545,71209433
63778997,92078891
130718946,100373741
32213538,123524292
181789581,6950463
234794650,73678343
242107687,95390073
150254651,6240739
46019296,79510494
246680846,100380758
70506102,71487960
12031250,77878777
32065764,4632028
200290942,95821892
149889958,61568467
38449259,71209449
30366194,4631942
23178394,44394311
29888274,9260491
228470713,73565199
71887167,73610181
129987232,1904674
157865696,6769028
91652257,88396195
43389790,47227082
119283461,69277853
155874390,79705400
207896807,93022295
235371323,3635199
156464970,67350078
233393212,95390984
125103405,79705225
47173084,106865254
14886146,6811735
227468011,95390068
235345220,79510571
111504383,1951606
73322964,1518743
232239691,95390657
161831186,79060611
228862015,9210642
30541498,101545114
215160427,77878777
157310236,106865254
144046853,79510388
38717212,71209685
124588790,85728212
201644869,93022295
100049751,89228077
227700516,49778456
93690962,67844594
37390291,93022295
156671064,68877987
174305456,47227082
24368509,106865254
252927800,1901511
43569039,100373741
189218014,73678343
77578858,1629877
22570571,4632074
180566344,115921759
143825777,9210642
56867323,95390073
226790908,69277853
73845894,100380758
201273321,71209685
181002198,4632028
162748049,61548819
11670383,69277876
51998363,75862616
227578657,1904674
170497718,6238716
161343708,79509202
245200489,49778408
58019553,4632074
252031464,34728374
15182025,34728374
30035858,49778408
17453353,73565199
77582725,88396655
57968285,89043055
175494274,44394311
92914503,4632193
24827584,4634539
71874902,70395867
10535355,81060081
139150011,70748503
123513419,47227126
208146197,95638194
52029679,69277876
71917639,84319880
187658869,72380323
195160258,79705169
53900815,77864463
57432180,75805033
139260615,68934354
253320910,79705400
29941854,71209468
29487079,6238716
240143340,93022165
219942093,92070886
29686576,6810278
162158288,89043042
70599056,92078891
22655289,34728374
143634245,6240739
206051048,95841376
129296592,55661918
15290416,11863788
227282071,6810278
200414957,72380323
138872758,89991359
181550040,6769028
57666538,86049379
212716398,73610181
97168578,84319761
194161767,86049379
168380903,95390984
97232814,67844594
168693763,73565199
61161758,46504982
83580211,79508879
228144497,47227126
97914770,68934354
16899571,69284507
248383585,75862587
138088695,86049379
144432333,79510724
193991184,49778456
92121763,6240739
238902878,61568467
168238290,79510494
194119101,107631122
136359879,75862833
228381614,84319761
150276655,79510494
65934157,73678343
253221990,100380395
15229988,95821892
91993881,79060611
188667373,69277853
44313307,1951650
234412030,1629877
245826849,8849188
66299662,73678343
51927906,79512084
226741844,93022165
144398767,1903398
241390579,95823629
193774862,79509202
227454846,79510388
37038130,79705225
109970513,92070886
256105793,73563662
252601568,4632074
31728218,85728212
201479338,73678343
39934077,67350078
251457225,72380323
110111969,75805033
220508794,71487960
226193227,95389324
65449074,69725658
205972640,69277853
188946708,68934354
162093140,70395867
8123105,61546978
130846182,95410989
50238941,9260491
8196741,72380323
206089597,1951650
15298124,77878777
194878245,61548819
240781307,6238716
57103445,71209449
45162493,1904674
183310214,92078891
71517885,6769028
37336555,67350078
47210075,79510388
52097070,11863788
143534650,1957168
161782450,61568467
22332910,89991359
29666644,84319813
175806137,1903398
195495220,49778408
15378473,6940858
25007644,11863382
78585345,46794237
252017826,6811735
130208213,102285333
206889823,115922389
221185387,95019637
206359643,79510388
23122474,6769028
104390700,126087055
226810978,86049379
234686609,6823476
66364147,95411142
254299161,9260491
248949499,108833643
137481755,95410989
23612239,61548819
77754680,58623856
176168269,6940814
85206147,100373741
187423368,31607516
154892218,79510724
24155411,95638194
15687966,1951650
187993972,86049049
87058594,79705169
239965484,95841376
212750880,61568467
46115908,72380323
98353238,1951650
168865120,58623856
56880591,69277979
86248742,75862616
163261151,77864463
163420898,84319635
137827039,6940814
63770932,85726786
123246129,9210642
193879148,4631942
31215784,106865254
188279350,71209433
29638883,79508822
232361919,115921759
22829689,71209468
2240198,102285450
181295238,79509332
78412251,61548819
195630805,79510571
91474871,6810278
182255267,9210642
193623140,95823449
38922373,84319880
57833391,79510724
253990562,67350078
187853239,71487960
182632045,72380323
228564170,107631122
181355497,1901511
71452296,115921759
189152945,73610181
77733032,71216392
163741567,67844594
155207981,47227126
247175257,79508822
200161045,9210642
129452740,89228416
16798617,6810278
214639705,61546978
163112235,77864463
247601823,49778408
64690344,95638194
162733973,70917083
214684527,11863382
253220796,72380323
162156616,126087055
219660340,92078891
254056754,58623856
84791079,89228077
57841111,123524292
124525946,79705225
24989782,71209468
15300971,1629877
164359845,75862711
182161907,79509202
117312977,79508822
118823394,61548819
174613602,77864463
213641511,84319635
105778254,58623856
149808361,95019637
3556724,5919519
124041456,84319761
15082789,71209433
23667270,88396655
181198731,69725658
